KOR,JPN,RUS,ITA,USA
KOR,JPN,RUS,ITA,USA
CHN,ITA,IND,AUS,FRA
AUS,KOR,VNM,BRA,ITA
IND,TUR,CHN,FRA,DEU
BRA,DEU,TUR,DEU,BRA
RUS,AUS,AUS,KOR,IND
DEU,FRA,KOR,CHN,JPN
VNM,BRA,PRT,IND,AUS
ITA,MEX,NLD,JPN,KOR
FRA,IND,IDN,RUS,GBR
JPN,CHN,ITA,PRT,CHN
TUR,ESP,BRA,TUR,RUS
PRT,GBR,ESP,VNM,ESP
GBR,PRT,MEX,GBR,VNM
NLD,GRC,GBR,ESP,TUR
ESP,RUS,ARG,NLD,PRT
IDN,NLD,CHL,MEX,MEX
MEX,IDN,MYS,IDN,NLD
ARG,ARG,ZAF,ARG,ARG
CHL,CHL,THA,CHL,IDN
USA,PER,UKR,GRC,CHL
MYS,VNM,CZE,THA,GRC
GRC,IRN,GRC,MYS,CAN
THA,MYS,POL,CAN,PER
ZAF,THA,IRN,ZAF,THA
CZE,CZE,CAN,CZE,ZAF
UKR,POL,PER,UKR,BEL
POL,CAN,BEL,POL,BOL
IRN,ZAF,ROU,PER,MYS
PER,BOL,JOR,IRN,CZE
CAN,BEL,DEU,BEL,POL
BEL,UKR,BOL,BOL,UKR
ROU,ROU,SWE,ROU,IRN
BOL,GTM,JPN,USA,GTM
JOR,JOR,COL,JOR,ROU
SWE,SWE,GTM,SWE,COL
GTM,COL,PHL,GTM,PHL
COL,PHL,FRA,COL,IRQ
PHL,IRQ,MAR,PHL,SWE
MAR,TUN,BGD,IRQ,TUN
IRQ,MAR,IRQ,MAR,MAR
BGD,ECU,TUN,TUN,JOR
TUN,BGD,ECU,ECU,ECU
ECU,KAZ,AZE,BGD,BGD
AZE,AZE,KAZ,KAZ,KAZ
KAZ,SAU,NPL,AZE,DOM
NPL,DOM,PAK,DOM,SAU
PAK,NPL,SAU,SAU,ETH
SAU,PAK,MMR,NPL,PAK
MMR,MMR,DOM,PAK,NPL
DOM,ETH,CUB,MMR,ZMB
CUB,VEN,HND,ETH,AZE
HND,HND,ETH,CUB,VEN
ETH,CUB,EGY,HND,AGO
EGY,ZMB,AGO,VEN,HND
AGO,KEN,LKA,EGY,KEN
VEN,EGY,VEN,ZMB,MOZ
LKA,GHA,ZMB,KEN,CUB
ZMB,BDI,MOZ,AGO,BDI
MOZ,AGO,KEN,LKA,GHA
KEN,LKA,DZA,ZWE,CIV
DZA,ZWE,CIV,UZB,UGA
BDI,MOZ,BDI,BDI,ZWE
CIV,AFG,UGA,AFG,EGY
UGA,CIV,KHM,GHA,LKA
KHM,COD,GHA,DZA,MMR
GHA,UGA,UZB,MOZ,DZA
UZB,MWI,AFG,UGA,MDG
ZWE,NGA,ZWE,NGA,RWA
AFG,UZB,MDG,CIV,AFG
MDG,RWA,RWA,RWA,UZB
RWA,DZA,COD,COD,NGA
COD,PNG,TZA,MDG,MWI
TZA,TZA,PNG,KHM,TZA
PNG,KHM,NGA,TZA,COD
MWI,HTI,MWI,MWI,SEN
NGA,MDG,SDN,PNG,HTI
SDN,SEN,SEN,HTI,MLI
SEN,SYR,MLI,SDN,PNG
HTI,GIN,YEM,SEN,SDN
MLI,BFA,CMR,CMR,GIN
YEM,SDN,HTI,MLI,KHM
CMR,SOM,SYR,SYR,CMR
SYR,BEN,SOM,GIN,TCD
GIN,MLI,GIN,SOM,BFA
SOM,CMR,TCD,BFA,SOM
BFA,YEM,BFA,BEN,SYR
TCD,SSD,NER,SSD,YEM
BEN,NER,SSD,NER,SSD
NER,TCD,BEN,YEM,BEN
SSD,USA,USA,TCD,NER
